applicant_ID,applicant_score,density
322,1.4112783827629696,0
323,1.4097751329562518,0
324,1.4082736297602882,0
325,1.4067738709768038,0
326,1.4052758544105097,1
327,1.4037795778690916,0
328,1.4022850391631991,1
329,1.4007922361064553,1
330,1.3993011665154445,1
331,1.3978118282097016,1
332,1.3963242190117238,1
333,1.3948383367469535,0
334,1.3933541792437814,0
335,1.3918717443335287,1
336,1.3903910298504638,1
337,1.3889120336317833,1
338,1.3874347535176141,3
339,1.3859591873509975,1
340,1.3844853329779045,3
341,1.3830131882472205,0
342,1.3815427510107319,1
343,1.3800740191231424,0
344,1.3786069904420521,2
345,1.377141662827966,1
346,1.3756780341442731,0
347,1.3742161022572583,0
348,1.3727558650360956,0
349,1.371297320352831,1
350,1.3698404660823948,0
351,1.368385300102589,0
352,1.366931820294086,0
353,1.3654800245404177,1
354,1.3640299107279816,0
355,1.3625814767460331,0
356,1.3611347204866706,0
357,1.3596896398448521,1
358,1.3582462327183717,0
359,1.356804497007872,0
360,1.3553644306168193,1
361,1.3539260314515222,1
362,1.3524892974211145,1
363,1.3510542264375471,0
364,1.3496208164155996,0
365,1.3481890652728619,0
366,1.34675897092974,1
367,1.3453305313094361,1
368,1.3439037443379684,0
369,1.3424786079441495,0
370,1.3410551200595837,0
371,1.3396332786186684,1
372,1.3382130815585924,0
373,1.3367945268193242,0
374,1.3353776123436079,0
375,1.3339623360769668,0
376,1.3325486959676964,0
377,1.3311366899668537,0
378,1.329726316028264,0
379,1.3283175721085088,0
380,1.326910456166927,0
381,1.3255049661656044,0
382,1.3241011000693768,0
383,1.3226988558458252,2
384,1.321298231465262,0
385,1.3198992249007433,0
386,1.3185018341280517,1
387,1.3171060571257014,0
388,1.315711891874921,0
389,1.3143193363596681,0
390,1.3129283885666116,0
391,1.3115390464851335,0
392,1.310151308107319,0
393,1.3087651714279624,0
394,1.3073806344445575,0
395,1.3059976951572883,0
396,1.3046163515690368,0
397,1.30323660168537,0
398,1.301858443514545,0
399,1.300481875067489,0
400,1.2991068943578141,0
401,1.2977334994018033,1
402,1.2963616882184055,0
403,1.2949914588292375,0
404,1.293622809258577,0
405,1.2922557375333608,0
406,1.2908902416831727,0
407,1.289526319740251,0
408,1.2881639697394829,0
409,1.2868031897183903,0
410,1.285443977717138,0
411,1.2840863317785247,0
412,1.2827302499479818,0
413,1.28137573027356,0
414,1.2800227708059406,0
415,1.2786713695984249,0
416,1.2773215247069212,0
417,1.2759732341899575,0
418,1.2746264961086673,0
419,1.2732813085267902,0
420,1.2719376695106608,0
421,1.270595577129216,0
422,1.269255029453986,1
423,1.2679160245590821,0
424,1.2665785605212125,0
425,1.2652426354196598,0
426,1.26390824733629,0
427,1.2625753943555347,0
428,1.2612440745644058,0
429,1.259914286052481,0
430,1.2585860269118923,0
431,1.257259295237341,0
432,1.2559340891260806,1
433,1.2546104066779213,0
434,1.2532882459952117,0
435,1.251967605182856,0
436,1.2506484823482968,0
437,1.2493308756015087,0
438,1.2480147830550066,0
439,1.2467002028238332,0
440,1.2453871330255635,0
441,1.2440755717802838,0
442,1.2427655172106105,1
443,1.2414569674416713,0
444,1.240149920601111,0
445,1.2388443748190734,0
446,1.2375403282282147,0
447,1.2362377789636951,0
448,1.2349367251631627,0
449,1.2336371649667688,0
450,1.2323390965171546,0
451,1.231042517959441,0
452,1.2297474274412408,0
